"Laikotarpis","Rodiklis","Amžius (tikslinės amžiaus grupės)","Gyvenamoji vietovė","Lytis","Matavimo vienetai","Reikšmė"
"2014","Nedarbo lygis","25–54","Kaimas","Vyrai ir moterys","proc.","14.9"
"2015","Nedarbo lygis","25–54","Kaimas","Vyrai ir moterys","proc.","13.9"
"2016","Nedarbo lygis","25–54","Kaimas","Vyrai ir moterys","proc.","11.4"
"2017","Nedarbo lygis","25–54","Kaimas","Vyrai ir moterys","proc.","10.1"
"2018","Nedarbo lygis","25–54","Kaimas","Vyrai ir moterys","proc.","8.1"
"1998","Nedarbo lygis","55–64","Kaimas","Vyrai ir moterys","proc.","4.1"
"1999","Nedarbo lygis","55–64","Kaimas","Vyrai ir moterys","proc.","3.6"
"2000","Nedarbo lygis","55–64","Kaimas","Vyrai ir moterys","proc.","5.4"
"2001","Nedarbo lygis","55–64","Kaimas","Vyrai ir moterys","proc.","9.4"
"2002","Nedarbo lygis","55–64","Kaimas","Vyrai ir moterys","proc.","5.1"
"2003","Nedarbo lygis","55–64","Kaimas","Vyrai ir moterys","proc.","6.0"
"2004","Nedarbo lygis","55–64","Kaimas","Vyrai ir moterys","proc.","8.3"
"2005","Nedarbo lygis","55–64","Kaimas","Vyrai ir moterys","proc.","4.5"
"2006","Nedarbo lygis","55–64","Kaimas","Vyrai ir moterys","proc.","4.6"
"2007","Nedarbo lygis","55–64","Kaimas","Vyrai ir moterys","proc.","2.8"
"2008","Nedarbo lygis","55–64","Kaimas","Vyrai ir moterys","proc.","5.6"
"2009","Nedarbo lygis","55–64","Kaimas","Vyrai ir moterys","proc.","12.6"
"2010","Nedarbo lygis","55–64","Kaimas","Vyrai ir moterys","proc.","17.8"
"2011","Nedarbo lygis","55–64","Kaimas","Vyrai ir moterys","proc.","20.3"
"2012","Nedarbo lygis","55–64","Kaimas","Vyrai ir moterys","proc.","18.0"
"2013","Nedarbo lygis","55–64","Kaimas","Vyrai ir moterys","proc.","18.2"
"2014","Nedarbo lygis","55–64","Kaimas","Vyrai ir moterys","proc.","17.3"
"2015","Nedarbo lygis","55–64","Kaimas","Vyrai ir moterys","proc.","14.7"
"2016","Nedarbo lygis","55–64","Kaimas","Vyrai ir moterys","proc.","14.4"
"2017","Nedarbo lygis","55–64","Kaimas","Vyrai ir moterys","proc.","13.4"
"2018","Nedarbo lygis","55–64","Kaimas","Vyrai ir moterys","proc.","11.4"
"1998","Nedarbo lygis","65+","Kaimas","Vyrai ir moterys","proc.",
"1999","Nedarbo lygis","65+","Kaimas","Vyrai ir moterys","proc.",
"2000","Nedarbo lygis","65+","Kaimas","Vyrai ir moterys","proc.",
"2001","Nedarbo lygis","65+","Kaimas","Vyrai ir moterys","proc.",
"2002","Nedarbo lygis","65+","Kaimas","Vyrai ir moterys","proc.",
"2003","Nedarbo lygis","65+","Kaimas","Vyrai ir moterys","proc.",
"2004","Nedarbo lygis","65+","Kaimas","Vyrai ir moterys","proc.",
"2005","Nedarbo lygis","65+","Kaimas","Vyrai ir moterys","proc.",
"2006","Nedarbo lygis","65+","Kaimas","Vyrai ir moterys","proc.",
"2007","Nedarbo lygis","65+","Kaimas","Vyrai ir moterys","proc.",
"2008","Nedarbo lygis","65+","Kaimas","Vyrai ir moterys","proc.",
"2009","Nedarbo lygis","65+","Kaimas","Vyrai ir moterys","proc.",
"2010","Nedarbo lygis","65+","Kaimas","Vyrai ir moterys","proc.",
"2011","Nedarbo lygis","65+","Kaimas","Vyrai ir moterys","proc.",
"2012","Nedarbo lygis","65+","Kaimas","Vyrai ir moterys","proc.",
"2013","Nedarbo lygis","65+","Kaimas","Vyrai ir moterys","proc.",
"2014","Nedarbo lygis","65+","Kaimas","Vyrai ir moterys","proc.",
"2015","Nedarbo lygis","65+","Kaimas","Vyrai ir moterys","proc.",
"2016","Nedarbo lygis","65+","Kaimas","Vyrai ir moterys","proc.",
"2017","Nedarbo lygis","65+","Kaimas","Vyrai ir moterys","proc.",
"2018","Nedarbo lygis","65+","Kaimas","Vyrai ir moterys","proc.",
"1998","Nedarbo lygis","Iš viso pagal amžiaus grupes","Kaimas","Vyrai","proc.","12.1"
"1999","Nedarbo lygis","Iš viso pagal amžiaus grupes","Kaimas","Vyrai","proc.","11.1"
"2000","Nedarbo lygis","Iš viso pagal amžiaus grupes","Kaimas","Vyrai","proc.","15.5"
"2001","Nedarbo lygis","Iš viso pagal amžiaus grupes","Kaimas","Vyrai","proc.","16.6"
"2002","Nedarbo lygis","Iš viso pagal amžiaus grupes","Kaimas","Vyrai","proc.","9.8"
"2003","Nedarbo lygis","Iš viso pagal amžiaus grupes","Kaimas","Vyrai","proc.","9.5"
"2004","Nedarbo lygis","Iš viso pagal amžiaus grupes","Kaimas","Vyrai","proc.","8.8"
"2005","Nedarbo lygis","Iš viso pagal amžiaus grupes","Kaimas","Vyrai","proc.","7.2"
"2006","Nedarbo lygis","Iš viso pagal amžiaus grupes","Kaimas","Vyrai","proc.","6.5"
"2007","Nedarbo lygis","Iš viso pagal amžiaus grupes","Kaimas","Vyrai","proc.","4.4"
"2008","Nedarbo lygis","Iš viso pagal amžiaus grupes","Kaimas","Vyrai","proc.","6.2"
"2009","Nedarbo lygis","Iš viso pagal amžiaus grupes","Kaimas","Vyrai","proc.","19.5"
"2010","Nedarbo lygis","Iš viso pagal amžiaus grupes","Kaimas","Vyrai","proc.","24.7"
"2011","Nedarbo lygis","Iš viso pagal amžiaus grupes","Kaimas","Vyrai","proc.","23.5"
"2012","Nedarbo lygis","Iš viso pagal amžiaus grupes","Kaimas","Vyrai","proc.","21.9"
"2013","Nedarbo lygis","Iš viso pagal amžiaus grupes","Kaimas","Vyrai","proc.","19.1"
"2014","Nedarbo lygis","Iš viso pagal amžiaus grupes","Kaimas","Vyrai","proc.","17.7"
"2015","Nedarbo lygis","Iš viso pagal amžiaus grupes","Kaimas","Vyrai","proc.","14.4"
"2016","Nedarbo lygis","Iš viso pagal amžiaus grupes","Kaimas","Vyrai","proc.","13.9"
"2017","Nedarbo lygis","Iš viso pagal amžiaus grupes","Kaimas","Vyrai","proc.","12.3"
"2018","Nedarbo lygis","Iš viso pagal amžiaus grupes","Kaimas","Vyrai","proc.","10.0"
"1998","Nedarbo lygis","15–24","Kaimas","Vyrai","proc.","20.6"
"1999","Nedarbo lygis","15–24","Kaimas","Vyrai","proc.","24.8"
"2000","Nedarbo lygis","15–24","Kaimas","Vyrai","proc.","32.7"
"2001","Nedarbo lygis","15–24","Kaimas","Vyrai","proc.","32.6"
"2002","Nedarbo lygis","15–24","Kaimas","Vyrai","proc.","20.0"
"2003","Nedarbo lygis","15–24","Kaimas","Vyrai","proc.","16.4"
"2004","Nedarbo lygis","15–24","Kaimas","Vyrai","proc.","19.2"
"2005","Nedarbo lygis","15–24","Kaimas","Vyrai","proc.","14.8"
"2006","Nedarbo lygis","15–24","Kaimas","Vyrai","proc.","10.3"
"2007","Nedarbo lygis","15–24","Kaimas","Vyrai","proc.","6.2"
"2008","Nedarbo lygis","15–24","Kaimas","Vyrai","proc.","9.3"
"2009","Nedarbo lygis","15–24","Kaimas","Vyrai","proc.","38.9"
"2010","Nedarbo lygis","15–24","Kaimas","Vyrai","proc.","42.7"
"2011","Nedarbo lygis","15–24","Kaimas","Vyrai","proc.","42.0"
"2012","Nedarbo lygis","15–24","Kaimas","Vyrai","proc.","35.2"
"2013","Nedarbo lygis","15–24","Kaimas","Vyrai","proc.","28.5"
"2014","Nedarbo lygis","15–24","Kaimas","Vyrai","proc.","24.6"
"2015","Nedarbo lygis","15–24","Kaimas","Vyrai","proc.","15.4"
"2016","Nedarbo lygis","15–24","Kaimas","Vyrai","proc.","19.0"
"2017","Nedarbo lygis","15–24","Kaimas","Vyrai","proc.","15.2"
"2018","Nedarbo lygis","15–24","Kaimas","Vyrai","proc.","16.8"
"1998","Nedarbo lygis","15–29","Kaimas","Vyrai","proc.","15.3"
"1999","Nedarbo lygis","15–29","Kaimas","Vyrai","proc.","18.4"
"2000","Nedarbo lygis","15–29","Kaimas","Vyrai","proc.","23.2"
"2001","Nedarbo lygis","15–29","Kaimas","Vyrai","proc.","27.5"
"2002","Nedarbo lygis","15–29","Kaimas","Vyrai","proc.","18.4"
"2003","Nedarbo lygis","15–29","Kaimas","Vyrai","proc.","13.8"
"2004","Nedarbo lygis","15–29","Kaimas","Vyrai","proc.","13.2"
"2005","Nedarbo lygis","15–29","Kaimas","Vyrai","proc.","10.5"
"2006","Nedarbo lygis","15–29","Kaimas","Vyrai","proc.","8.0"
"2007","Nedarbo lygis","15–29","Kaimas","Vyrai","proc.","6.3"
"2008","Nedarbo lygis","15–29","Kaimas","Vyrai","proc.","8.4"
"2009","Nedarbo lygis","15–29","Kaimas","Vyrai","proc.","30.7"
"2010","Nedarbo lygis","15–29","Kaimas","Vyrai","proc.","38.3"
"2011","Nedarbo lygis","15–29","Kaimas","Vyrai","proc.","34.1"
"2012","Nedarbo lygis","15–29","Kaimas","Vyrai","proc.","31.6"
"2013","Nedarbo lygis","15–29","Kaimas","Vyrai","proc.","25.2"
"2014","Nedarbo lygis","15–29","Kaimas","Vyrai","proc.","20.7"
"2015","Nedarbo lygis","15–29","Kaimas","Vyrai","proc.","13.4"
"2016","Nedarbo lygis","15–29","Kaimas","Vyrai","proc.","15.5"
"2017","Nedarbo lygis","15–29","Kaimas","Vyrai","proc.","11.5"
"2018","Nedarbo lygis","15–29","Kaimas","Vyrai","proc.","12.6"
"1998","Nedarbo lygis","15–64","Kaimas","Vyrai","proc.","12.5"
"1999","Nedarbo lygis","15–64","Kaimas","Vyrai","proc.","11.4"
"2000","Nedarbo lygis","15–64","Kaimas","Vyrai","proc.","16.1"
"2001","Nedarbo lygis","15–64","Kaimas","Vyrai","proc.","17.0"
"2002","Nedarbo lygis","15–64","Kaimas","Vyrai","proc.","10.0"
"2003","Nedarbo lygis","15–64","Kaimas","Vyrai","proc.","9.7"
"2004","Nedarbo lygis","15–64","Kaimas","Vyrai","proc.","9.0"
"2005","Nedarbo lygis","15–64","Kaimas","Vyrai","proc.","7.3"
"2006","Nedarbo lygis","15–64","Kaimas","Vyrai","proc.","6.6"
"2007","Nedarbo lygis","15–64","Kaimas","Vyrai","proc.","4.5"
"2008","Nedarbo lygis","15–64","Kaimas","Vyrai","proc.","6.3"
"2009","Nedarbo lygis","15–64","Kaimas","Vyrai","proc.","19.8"
"2010","Nedarbo lygis","15–64","Kaimas","Vyrai","proc.","25.1"
"2011","Nedarbo lygis","15–64","Kaimas","Vyrai","proc.","23.9"
"2012","Nedarbo lygis","15–64","Kaimas","Vyrai","proc.","22.3"
"2013","Nedarbo lygis","15–64","Kaimas","Vyrai","proc.","19.4"
"2014","Nedarbo lygis","15–64","Kaimas","Vyrai","proc.","17.9"
"2015","Nedarbo lygis","15–64","Kaimas","Vyrai","proc.","14.7"
"2016","Nedarbo lygis","15–64","Kaimas","Vyrai","proc.","14.3"
"2017","Nedarbo lygis","15–64","Kaimas","Vyrai","proc.","12.8"
"2018","Nedarbo lygis","15–64","Kaimas","Vyrai","proc.","10.3"
"1998","Nedarbo lygis","15–74","Kaimas","Vyrai","proc.","12.2"
"1999","Nedarbo lygis","15–74","Kaimas","Vyrai","proc.","11.1"
"2000","Nedarbo lygis","15–74","Kaimas","Vyrai","proc.","15.6"
"2001","Nedarbo lygis","15–74","Kaimas","Vyrai","proc.","16.6"
"2002","Nedarbo lygis","15–74","Kaimas","Vyrai","proc.","9.8"
"2003","Nedarbo lygis","15–74","Kaimas","Vyrai","proc.","9.5"
"2004","Nedarbo lygis","15–74","Kaimas","Vyrai","proc.","8.9"
"2005","Nedarbo lygis","15–74","Kaimas","Vyrai","proc.","7.2"
"2006","Nedarbo lygis","15–74","Kaimas","Vyrai","proc.","6.5"
"2007","Nedarbo lygis","15–74","Kaimas","Vyrai","proc.","4.4"
"2008","Nedarbo lygis","15–74","Kaimas","Vyrai","proc.","6.2"
"2009","Nedarbo lygis","15–74","Kaimas","Vyrai","proc.","19.5"
"2010","Nedarbo lygis","15–74","Kaimas","Vyrai","proc.","24.8"
"2011","Nedarbo lygis","15–74","Kaimas","Vyrai","proc.","23.6"
"2012","Nedarbo lygis","15–74","Kaimas","Vyrai","proc.","22.0"
"2013","Nedarbo lygis","15–74","Kaimas","Vyrai","proc.","19.1"
"2014","Nedarbo lygis","15–74","Kaimas","Vyrai","proc.","17.7"
"2015","Nedarbo lygis","15–74","Kaimas","Vyrai","proc.","14.5"
"2016","Nedarbo lygis","15–74","Kaimas","Vyrai","proc.","14.0"
"2017","Nedarbo lygis","15–74","Kaimas","Vyrai","proc.","12.5"
"2018","Nedarbo lygis","15–74","Kaimas","Vyrai","proc.","10.0"
"1998","Nedarbo lygis","20–64","Kaimas","Vyrai","proc.","11.8"
"1999","Nedarbo lygis","20–64","Kaimas","Vyrai","proc.","10.9"
"2000","Nedarbo lygis","20–64","Kaimas","Vyrai","proc.","14.7"
"2001","Nedarbo lygis","20–64","Kaimas","Vyrai","proc.","16.7"
"2002","Nedarbo lygis","20–64","Kaimas","Vyrai","proc.","9.5"
"2003","Nedarbo lygis","20–64","Kaimas","Vyrai","proc.","9.4"
"2004","Nedarbo lygis","20–64","Kaimas","Vyrai","proc.","8.7"
"2005","Nedarbo lygis","20–64","Kaimas","Vyrai","proc.","7.2"
"2006","Nedarbo lygis","20–64","Kaimas","Vyrai","proc.","6.6"
"2007","Nedarbo lygis","20–64","Kaimas","Vyrai","proc.","4.2"
"2008","Nedarbo lygis","20–64","Kaimas","Vyrai","proc.","6.0"
"2009","Nedarbo lygis","20–64","Kaimas","Vyrai","proc.","19.2"
"2010","Nedarbo lygis","20–64","Kaimas","Vyrai","proc.","24.6"
"2011","Nedarbo lygis","20–64","Kaimas","Vyrai","proc.","23.6"
"2012","Nedarbo lygis","20–64","Kaimas","Vyrai","proc.","22.1"
"2013","Nedarbo lygis","20–64","Kaimas","Vyrai","proc.","19.2"
"2014","Nedarbo lygis","20–64","Kaimas","Vyrai","proc.","17.7"
"2015","Nedarbo lygis","20–64","Kaimas","Vyrai","proc.","14.5"
"2016","Nedarbo lygis","20–64","Kaimas","Vyrai","proc.","14.2"
"2017","Nedarbo lygis","20–64","Kaimas","Vyrai","proc.","12.7"
"2018","Nedarbo lygis","20–64","Kaimas","Vyrai","proc.","10.2"
"1998","Nedarbo lygis","25–54","Kaimas","Vyrai","proc.","11.6"
"1999","Nedarbo lygis","25–54","Kaimas","Vyrai","proc.","9.4"
"2000","Nedarbo lygis","25–54","Kaimas","Vyrai","proc.","14.0"
"2001","Nedarbo lygis","25–54","Kaimas","Vyrai","proc.","15.2"
"2002","Nedarbo lygis","25–54","Kaimas","Vyrai","proc.","9.0"
"2003","Nedarbo lygis","25–54","Kaimas","Vyrai","proc.","9.4"
"2004","Nedarbo lygis","25–54","Kaimas","Vyrai","proc.","7.7"
"2005","Nedarbo lygis","25–54","Kaimas","Vyrai","proc.","6.6"
"2006","Nedarbo lygis","25–54","Kaimas","Vyrai","proc.","6.1"
"2007","Nedarbo lygis","25–54","Kaimas","Vyrai","proc.","4.4"
"2008","Nedarbo lygis","25–54","Kaimas","Vyrai","proc.","5.9"
"2009","Nedarbo lygis","25–54","Kaimas","Vyrai","proc.","17.5"
"2010","Nedarbo lygis","25–54","Kaimas","Vyrai","proc.","23.2"
"2011","Nedarbo lygis","25–54","Kaimas","Vyrai","proc.","21.5"
"2012","Nedarbo lygis","25–54","Kaimas","Vyrai","proc.","20.7"
"2013","Nedarbo lygis","25–54","Kaimas","Vyrai","proc.","17.2"
"2014","Nedarbo lygis","25–54","Kaimas","Vyrai","proc.","16.1"
"2015","Nedarbo lygis","25–54","Kaimas","Vyrai","proc.","14.3"
"2016","Nedarbo lygis","25–54","Kaimas","Vyrai","proc.","12.9"
"2017","Nedarbo lygis","25–54","Kaimas","Vyrai","proc.","12.1"
"2018","Nedarbo lygis","25–54","Kaimas","Vyrai","proc.","9.1"
"1998","Nedarbo lygis","55–64","Kaimas","Vyrai","proc.","5.0"
"1999","Nedarbo lygis","55–64","Kaimas","Vyrai","proc.","5.0"
"2000","Nedarbo lygis","55–64","Kaimas","Vyrai","proc.","8.6"
"2001","Nedarbo lygis","55–64","Kaimas","Vyrai","proc.","13.1"
"2002","Nedarbo lygis","55–64","Kaimas","Vyrai","proc.","6.8"
"2003","Nedarbo lygis","55–64","Kaimas","Vyrai","proc.","5.9"
"2004","Nedarbo lygis","55–64","Kaimas","Vyrai","proc.","7.7"
"2005","Nedarbo lygis","55–64","Kaimas","Vyrai","proc.","4.8"
"2006","Nedarbo lygis","55–64","Kaimas","Vyrai","proc.","5.7"
"2007","Nedarbo lygis","55–64","Kaimas","Vyrai","proc.","3.3"
"2008","Nedarbo lygis","55–64","Kaimas","Vyrai","proc.","5.4"
"2009","Nedarbo lygis","55–64","Kaimas","Vyrai","proc.","13.1"
"2010","Nedarbo lygis","55–64","Kaimas","Vyrai","proc.","18.8"
"2011","Nedarbo lygis","55–64","Kaimas","Vyrai","proc.","21.5"
"2012","Nedarbo lygis","55–64","Kaimas","Vyrai","proc.","19.9"
"2013","Nedarbo lygis","55–64","Kaimas","Vyrai","proc.","23.2"
"2014","Nedarbo lygis","55–64","Kaimas","Vyrai","proc.","21.0"
"2015","Nedarbo lygis","55–64","Kaimas","Vyrai","proc.","15.5"
"2016","Nedarbo lygis","55–64","Kaimas","Vyrai","proc.","16.2"
"2017","Nedarbo lygis","55–64","Kaimas","Vyrai","proc.","13.8"
"2018","Nedarbo lygis","55–64","Kaimas","Vyrai","proc.","11.0"
"1998","Nedarbo lygis","65+","Kaimas","Vyrai","proc.",
"1999","Nedarbo lygis","65+","Kaimas","Vyrai","proc.",
"2000","Nedarbo lygis","65+","Kaimas","Vyrai","proc.",
"2001","Nedarbo lygis","65+","Kaimas","Vyrai","proc.",
"2002","Nedarbo lygis","65+","Kaimas","Vyrai","proc.",
"2003","Nedarbo lygis","65+","Kaimas","Vyrai","proc.",
"2004","Nedarbo lygis","65+","Kaimas","Vyrai","proc.",
"2005","Nedarbo lygis","65+","Kaimas","Vyrai","proc.",
"2006","Nedarbo lygis","65+","Kaimas","Vyrai","proc.",
"2007","Nedarbo lygis","65+","Kaimas","Vyrai","proc.",
"2008","Nedarbo lygis","65+","Kaimas","Vyrai","proc.",
"2009","Nedarbo lygis","65+","Kaimas","Vyrai","proc.",
"2010","Nedarbo lygis","65+","Kaimas","Vyrai","proc.",
"2011","Nedarbo lygis","65+","Kaimas","Vyrai","proc.",
"2012","Nedarbo lygis","65+","Kaimas","Vyrai","proc.",
"2013","Nedarbo lygis","65+","Kaimas","Vyrai","proc.",
"2014","Nedarbo lygis","65+","Kaimas","Vyrai","proc.",
"2015","Nedarbo lygis","65+","Kaimas","Vyrai","proc.",
"2016","Nedarbo lygis","65+","Kaimas","Vyrai","proc.",
"2017","Nedarbo lygis","65+","Kaimas","Vyrai","proc.",
"2018","Nedarbo lygis","65+","Kaimas","Vyrai","proc.",
"1998","Nedarbo lygis","Iš viso pagal amžiaus grupes","Kaimas","Moterys","proc.","8.8"
"1999","Nedarbo lygis","Iš viso pagal amžiaus grupes","Kaimas","Moterys","proc.","6.9"
"2000","Nedarbo lygis","Iš viso pagal amžiaus grupes","Kaimas","Moterys","proc.","10.7"
"2001","Nedarbo lygis","Iš viso pagal amžiaus grupes","Kaimas","Moterys","proc.","11.5"
"2002","Nedarbo lygis","Iš viso pagal amžiaus grupes","Kaimas","Moterys","proc.","9.6"
"2003","Nedarbo lygis","Iš viso pagal amžiaus grupes","Kaimas","Moterys","proc.","9.8"
"2004","Nedarbo lygis","Iš viso pagal amžiaus grupes","Kaimas","Moterys","proc.","10.0"
"2005","Nedarbo lygis","Iš viso pagal amžiaus grupes","Kaimas","Moterys","proc.","7.8"
"2006","Nedarbo lygis","Iš viso pagal amžiaus grupes","Kaimas","Moterys","proc.","6.2"
"2007","Nedarbo lygis","Iš viso pagal amžiaus grupes","Kaimas","Moterys","proc.","4.6"
"2008","Nedarbo lygis","Iš viso pagal amžiaus grupes","Kaimas","Moterys","proc.","6.1"
"2009","Nedarbo lygis","Iš viso pagal amžiaus grupes","Kaimas","Moterys","proc.","13.4"
"2010","Nedarbo lygis","Iš viso pagal amžiaus grupes","Kaimas","Moterys","proc.","20.3"
"2011","Nedarbo lygis","Iš viso pagal amžiaus grupes","Kaimas","Moterys","proc.","18.5"
"2012","Nedarbo lygis","Iš viso pagal amžiaus grupes","Kaimas","Moterys","proc.","16.9"
"2013","Nedarbo lygis","Iš viso pagal amžiaus grupes","Kaimas","Moterys","proc.","14.7"
"2014","Nedarbo lygis","Iš viso pagal amžiaus grupes","Kaimas","Moterys","proc.","14.2"
"2015","Nedarbo lygis","Iš viso pagal amžiaus grupes","Kaimas","Moterys","proc.","14.0"
"2016","Nedarbo lygis","Iš viso pagal amžiaus grupes","Kaimas","Moterys","proc.","10.6"
"2017","Nedarbo lygis","Iš viso pagal amžiaus grupes","Kaimas","Moterys","proc.","9.5"
"2018","Nedarbo lygis","Iš viso pagal amžiaus grupes","Kaimas","Moterys","proc.","8.1"
"1998","Nedarbo lygis","15–24","Kaimas","Moterys","proc.","17.4"
"1999","Nedarbo lygis","15–24","Kaimas","Moterys","proc.","15.3"
"2000","Nedarbo lygis","15–24","Kaimas","Moterys","proc.","26.4"
"2001","Nedarbo lygis","15–24","Kaimas","Moterys","proc.","30.7"
"2002","Nedarbo lygis","15–24","Kaimas","Moterys","proc.","18.4"
"2003","Nedarbo lygis","15–24","Kaimas","Moterys","proc.","20.6"
"2004","Nedarbo lygis","15–24","Kaimas","Moterys","proc.","22.0"
"2005","Nedarbo lygis","15–24","Kaimas","Moterys","proc.","14.8"
"2006","Nedarbo lygis","15–24","Kaimas","Moterys","proc.","8.5"
"2007","Nedarbo lygis","15–24","Kaimas","Moterys","proc.","9.4"
"2008","Nedarbo lygis","15–24","Kaimas","Moterys","proc.","16.3"
"2009","Nedarbo lygis","15–24","Kaimas","Moterys","proc.","21.3"
"2010","Nedarbo lygis","15–24","Kaimas","Moterys","proc.","38.1"
"2011","Nedarbo lygis","15–24","Kaimas","Moterys","proc.","40.5"
"2012","Nedarbo lygis","15–24","Kaimas","Moterys","proc.","29.2"
"2013","Nedarbo lygis","15–24","Kaimas","Moterys","proc.","26.0"
"2014","Nedarbo lygis","15–24","Kaimas","Moterys","proc.","24.5"
"2015","Nedarbo lygis","15–24","Kaimas","Moterys","proc.","21.4"
"2016","Nedarbo lygis","15–24","Kaimas","Moterys","proc.","17.7"
"2017","Nedarbo lygis","15–24","Kaimas","Moterys","proc.","18.0"
"2018","Nedarbo lygis","15–24","Kaimas","Moterys","proc.","10.4"
"1998","Nedarbo lygis","15–29","Kaimas","Moterys","proc.","14.3"
"1999","Nedarbo lygis","15–29","Kaimas","Moterys","proc.","11.1"
"2000","Nedarbo lygis","15–29","Kaimas","Moterys","proc.","17.2"
"2001","Nedarbo lygis","15–29","Kaimas","Moterys","proc.","17.6"
"2002","Nedarbo lygis","15–29","Kaimas","Moterys","proc.","17.0"
"2003","Nedarbo lygis","15–29","Kaimas","Moterys","proc.","14.7"
"2004","Nedarbo lygis","15–29","Kaimas","Moterys","proc.","17.3"
"2005","Nedarbo lygis","15–29","Kaimas","Moterys","proc.","11.2"
"2006","Nedarbo lygis","15–29","Kaimas","Moterys","proc.","8.5"
"2007","Nedarbo lygis","15–29","Kaimas","Moterys","proc.","6.7"
"2008","Nedarbo lygis","15–29","Kaimas","Moterys","proc.","10.6"
"2009","Nedarbo lygis","15–29","Kaimas","Moterys","proc.","18.2"
"2010","Nedarbo lygis","15–29","Kaimas","Moterys","proc.","29.9"
"2011","Nedarbo lygis","15–29","Kaimas","Moterys","proc.","27.0"
"2012","Nedarbo lygis","15–29","Kaimas","Moterys","proc.","23.3"
"2013","Nedarbo lygis","15–29","Kaimas","Moterys","proc.","21.8"
"2014","Nedarbo lygis","15–29","Kaimas","Moterys","proc.","20.1"
"2015","Nedarbo lygis","15–29","Kaimas","Moterys","proc.","18.6"
"2016","Nedarbo lygis","15–29","Kaimas","Moterys","proc.","12.3"
"2017","Nedarbo lygis","15–29","Kaimas","Moterys","proc.","11.9"
"2018","Nedarbo lygis","15–29","Kaimas","Moterys","proc.","8.1"
"1998","Nedarbo lygis","15–64","Kaimas","Moterys","proc.","9.1"
"1999","Nedarbo lygis","15–64","Kaimas","Moterys","proc.","7.2"
"2000","Nedarbo lygis","15–64","Kaimas","Moterys","proc.","11.4"
"2001","Nedarbo lygis","15–64","Kaimas","Moterys","proc.","11.8"
"2002","Nedarbo lygis","15–64","Kaimas","Moterys","proc.","9.8"
"2003","Nedarbo lygis","15–64","Kaimas","Moterys","proc.","9.9"
"2004","Nedarbo lygis","15–64","Kaimas","Moterys","proc.","10.2"
"2005","Nedarbo lygis","15–64","Kaimas","Moterys","proc.","7.8"
"2006","Nedarbo lygis","15–64","Kaimas","Moterys","proc.","6.3"
"2007","Nedarbo lygis","15–64","Kaimas","Moterys","proc.","4.7"
"2008","Nedarbo lygis","15–64","Kaimas","Moterys","proc.","6.2"
"2009","Nedarbo lygis","15–64","Kaimas","Moterys","proc.","13.6"
"2010","Nedarbo lygis","15–64","Kaimas","Moterys","proc.","20.6"
"2011","Nedarbo lygis","15–64","Kaimas","Moterys","proc.","18.8"
"2012","Nedarbo lygis","15–64","Kaimas","Moterys","proc.","17.2"
"2013","Nedarbo lygis","15–64","Kaimas","Moterys","proc.","14.9"
"2014","Nedarbo lygis","15–64","Kaimas","Moterys","proc.","14.4"
"2015","Nedarbo lygis","15–64","Kaimas","Moterys","proc.","14.3"
"2016","Nedarbo lygis","15–64","Kaimas","Moterys","proc.","10.9"
"2017","Nedarbo lygis","15–64","Kaimas","Moterys","proc.","9.8"
"2018","Nedarbo lygis","15–64","Kaimas","Moterys","proc.","8.3"
"1998","Nedarbo lygis","15–74","Kaimas","Moterys","proc.","8.8"
"1999","Nedarbo lygis","15–74","Kaimas","Moterys","proc.","7.0"
"2000","Nedarbo lygis","15–74","Kaimas","Moterys","proc.","10.9"
"2001","Nedarbo lygis","15–74","Kaimas","Moterys","proc.","11.5"
"2002","Nedarbo lygis","15–74","Kaimas","Moterys","proc.","9.7"
"2003","Nedarbo lygis","15–74","Kaimas","Moterys","proc.","9.8"
"2004","Nedarbo lygis","15–74","Kaimas","Moterys","proc.","10.1"
"2005","Nedarbo lygis","15–74","Kaimas","Moterys","proc.","7.8"
"2006","Nedarbo lygis","15–74","Kaimas","Moterys","proc.","6.2"
"2007","Nedarbo lygis","15–74","Kaimas","Moterys","proc.","4.6"
"2008","Nedarbo lygis","15–74","Kaimas","Moterys","proc.","6.1"
"2009","Nedarbo lygis","15–74","Kaimas","Moterys","proc.","13.4"
"2010","Nedarbo lygis","15–74","Kaimas","Moterys","proc.","20.3"
"2011","Nedarbo lygis","15–74","Kaimas","Moterys","proc.","18.6"
"2012","Nedarbo lygis","15–74","Kaimas","Moterys","proc.","16.9"
"2013","Nedarbo lygis","15–74","Kaimas","Moterys","proc.","14.8"
"2014","Nedarbo lygis","15–74","Kaimas","Moterys","proc.","14.2"
"2015","Nedarbo lygis","15–74","Kaimas","Moterys","proc.","14.0"
"2016","Nedarbo lygis","15–74","Kaimas","Moterys","proc.","10.7"
"2017","Nedarbo lygis","15–74","Kaimas","Moterys","proc.","9.5"
"2018","Nedarbo lygis","15–74","Kaimas","Moterys","proc.","8.2"
"1998","Nedarbo lygis","20–64","Kaimas","Moterys","proc.","8.4"
"1999","Nedarbo lygis","20–64","Kaimas","Moterys","proc.","6.8"
"2000","Nedarbo lygis","20–64","Kaimas","Moterys","proc.","11.0"
"2001","Nedarbo lygis","20–64","Kaimas","Moterys","proc.","11.5"
